Previous_Crop,Soil_Type,State,Recommended_Crop,Alternative_Crop,Reason
Sugarcane,Sandy,Uttar Pradesh,Cowpea,Chickpea,Legume-based nutrient restoration and pest cycle break
Sunflower,Alluvial,West Bengal,Chickpea,Wheat,Legume-based nutrient restoration and pest cycle break
Mustard,Black,Odisha,Cotton,Groundnut,Legume-based nutrient restoration and pest cycle break
Chickpea,Black,Maharashtra,Cotton,Maize,Legume-based nutrient restoration and pest cycle break
Potato,Alluvial,Maharashtra,Lentil,Chickpea,Legume-based nutrient restoration and pest cycle break
Soybean,Laterite,Odisha,Sugarcane,Wheat,Legume-based nutrient restoration and pest cycle break
Lentil,Laterite,Maharashtra,Wheat,Maize,Legume-based nutrient restoration and pest cycle break
Wheat,Alluvial,Maharashtra,Green Gram,Lentil,Legume-based nutrient restoration and pest cycle break
Groundnut,Laterite,Maharashtra,Wheat,Rice,Legume-based nutrient restoration and pest cycle break
Sunflower,Alluvial,Odisha,Wheat,Chickpea,Legume-based nutrient restoration and pest cycle break
Chickpea,Alluvial,Odisha,Maize,Rice,Legume-based nutrient restoration and pest cycle break
Pigeon Pea,Laterite,Uttar Pradesh,Wheat,Maize,Legume-based nutrient restoration and pest cycle break
Pigeon Pea,Black,Odisha,Maize,Sugarcane,Legume-based nutrient restoration and pest cycle break
Sunflower,Sandy,Odisha,Chickpea,Mustard,Legume-based nutrient restoration and pest cycle break
Sunflower,Black,Odisha,Soybean,Groundnut,Legume-based nutrient restoration and pest cycle break
Black Gram,Black,West Bengal,Maize,Cotton,Legume-based nutrient restoration and pest cycle break
Pigeon Pea,Clayey,Uttar Pradesh,Rice,Wheat,Legume-based nutrient restoration and pest cycle break
Pigeon Pea,Sandy,Punjab,Wheat,Rice,Legume-based nutrient restoration and pest cycle break
Green Gram,Red,West Bengal,Sugarcane,Maize,Legume-based nutrient restoration and pest cycle break
Groundnut,Laterite,Tamil Nadu,Wheat,Maize,Legume-based nutrient restoration and pest cycle break
Cotton,Alluvial,West Bengal,Soybean,Lentil,Legume-based nutrient restoration and pest cycle break
Cowpea,Sandy,West Bengal,Maize,Cotton,Legume-based nutrient restoration and pest cycle break
Sunflower,Laterite,Uttar Pradesh,Groundnut,Wheat,Legume-based nutrient restoration and pest cycle break
Soybean,Alluvial,Maharashtra,Maize,Wheat,Legume-based nutrient restoration and pest cycle break
Maize,Black,Uttar Pradesh,Black Gram,Green Gram,Legume-based nutrient restoration and pest cycle break
Sunflower,Black,Uttar Pradesh,Rice,Soybean,Legume-based nutrient restoration and pest cycle break
Mustard,Alluvial,Uttar Pradesh,Chickpea,Wheat,Legume-based nutrient restoration and pest cycle break
Cotton,Red,Tamil Nadu,Black Gram,Groundnut,Legume-based nutrient restoration and pest cycle break
Soybean,Alluvial,Punjab,Maize,Wheat,Legume-based nutrient restoration and pest cycle break
Soybean,Laterite,Tamil Nadu,Sugarcane,Wheat,Legume-based nutrient restoration and pest cycle break
Mustard,Alluvial,Uttar Pradesh,Rice,Lentil,Legume-based nutrient restoration and pest cycle break
Wheat,Clayey,Odisha,Green Gram,Lentil,Legume-based nutrient restoration and pest cycle break
Groundnut,Red,Odisha,Wheat,Maize,Legume-based nutrient restoration and pest cycle break
Chickpea,Red,Tamil Nadu,Rice,Maize,Legume-based nutrient restoration and pest cycle break
Sunflower,Sandy,Odisha,Black Gram,Cowpea,Legume-based nutrient restoration and pest cycle break
Soybean,Black,West Bengal,Maize,Wheat,Legume-based nutrient restoration and pest cycle break
Soybean,Alluvial,Maharashtra,Rice,Wheat,Legume-based nutrient restoration and pest cycle break
Sugarcane,Clayey,Tamil Nadu,Green Gram,Chickpea,Legume-based nutrient restoration and pest cycle break
Green Gram,Black,Tamil Nadu,Cotton,Rice,Legume-based nutrient restoration and pest cycle break
Black Gram,Sandy,Tamil Nadu,Rice,Wheat,Legume-based nutrient restoration and pest cycle break
Chickpea,Sandy,West Bengal,Wheat,Rice,Legume-based nutrient restoration and pest cycle break
Potato,Sandy,Odisha,Green Gram,Cowpea,Legume-based nutrient restoration and pest cycle break
Black Gram,Red,West Bengal,Sugarcane,Cotton,Legume-based nutrient restoration and pest cycle break
Mustard,Clayey,Tamil Nadu,Potato,Wheat,Legume-based nutrient restoration and pest cycle break
Mustard,Clayey,Maharashtra,Wheat,Lentil,Legume-based nutrient restoration and pest cycle break
Groundnut,Alluvial,West Bengal,Maize,Cotton,Legume-based nutrient restoration and pest cycle break
Green Gram,Laterite,Uttar Pradesh,Cotton,Sugarcane,Legume-based nutrient restoration and pest cycle break
Mustard,Sandy,West Bengal,Lentil,Chickpea,Legume-based nutrient restoration and pest cycle break
Lentil,Laterite,Punjab,Rice,Sugarcane,Legume-based nutrient restoration and pest cycle break
Soybean,Clayey,West Bengal,Rice,Wheat,Legume-based nutrient restoration and pest cycle break
Pigeon Pea,Black,West Bengal,Wheat,Maize,Legume-based nutrient restoration and pest cycle break
Lentil,Laterite,West Bengal,Sugarcane,Maize,Legume-based nutrient restoration and pest cycle break
Wheat,Black,Maharashtra,Green Gram,Black Gram,Legume-based nutrient restoration and pest cycle break
Maize,Clayey,Maharashtra,Black Gram,Lentil,Legume-based nutrient restoration and pest cycle break
Lentil,Clayey,West Bengal,Maize,Cotton,Legume-based nutrient restoration and pest cycle break
Soybean,Black,Odisha,Wheat,Sugarcane,Legume-based nutrient restoration and pest cycle break
Black Gram,Clayey,Uttar Pradesh,Rice,Potato,Legume-based nutrient restoration and pest cycle break
Wheat,Laterite,Uttar Pradesh,Groundnut,Chickpea,Legume-based nutrient restoration and pest cycle break
Cowpea,Black,Punjab,Cotton,Sugarcane,Legume-based nutrient restoration and pest cycle break
Sugarcane,Red,Punjab,Cowpea,Pigeon Pea,Legume-based nutrient restoration and pest cycle break
Groundnut,Red,Uttar Pradesh,Cotton,Wheat,Legume-based nutrient restoration and pest cycle break
Cotton,Black,Uttar Pradesh,Pigeon Pea,Black Gram,Legume-based nutrient restoration and pest cycle break
Sunflower,Clayey,Uttar Pradesh,Potato,Lentil,Legume-based nutrient restoration and pest cycle break
Cotton,Alluvial,Punjab,Soybean,Chickpea,Legume-based nutrient restoration and pest cycle break
Sunflower,Sandy,Odisha,Green Gram,Mustard,Legume-based nutrient restoration and pest cycle break
Maize,Sandy,Uttar Pradesh,Black Gram,Chickpea,Legume-based nutrient restoration and pest cycle break
Rice,Alluvial,Maharashtra,Soybean,Chickpea,Legume-based nutrient restoration and pest cycle break
Black Gram,Laterite,Odisha,Rice,Wheat,Legume-based nutrient restoration and pest cycle break
Sugarcane,Black,Uttar Pradesh,Groundnut,Pigeon Pea,Legume-based nutrient restoration and pest cycle break
Cotton,Laterite,Tamil Nadu,Chickpea,Groundnut,Legume-based nutrient restoration and pest cycle break
Sunflower,Alluvial,Punjab,Chickpea,Rice,Legume-based nutrient restoration and pest cycle break
Maize,Black,Tamil Nadu,Soybean,Black Gram,Legume-based nutrient restoration and pest cycle break
Soybean,Laterite,Punjab,Rice,Maize,Legume-based nutrient restoration and pest cycle break
Black Gram,Sandy,Odisha,Mustard,Wheat,Legume-based nutrient restoration and pest cycle break
Soybean,Black,West Bengal,Wheat,Sugarcane,Legume-based nutrient restoration and pest cycle break
Groundnut,Black,Odisha,Sugarcane,Maize,Legume-based nutrient restoration and pest cycle break
Sugarcane,Laterite,Punjab,Green Gram,Chickpea,Legume-based nutrient restoration and pest cycle break
Potato,Alluvial,Punjab,Chickpea,Lentil,Legume-based nutrient restoration and pest cycle break
Maize,Clayey,Maharashtra,Chickpea,Green Gram,Legume-based nutrient restoration and pest cycle break
Sunflower,Red,Uttar Pradesh,Groundnut,Maize,Legume-based nutrient restoration and pest cycle break
Potato,Black,Odisha,Pigeon Pea,Soybean,Legume-based nutrient restoration and pest cycle break
Groundnut,Black,Odisha,Cotton,Maize,Legume-based nutrient restoration and pest cycle break
Soybean,Red,Odisha,Wheat,Maize,Legume-based nutrient restoration and pest cycle break
Potato,Black,Odisha,Green Gram,Black Gram,Legume-based nutrient restoration and pest cycle break
Soybean,Laterite,Punjab,Cotton,Sugarcane,Legume-based nutrient restoration and pest cycle break
Rice,Black,Tamil Nadu,Soybean,Green Gram,Legume-based nutrient restoration and pest cycle break
Chickpea,Clayey,Maharashtra,Cotton,Potato,Legume-based nutrient restoration and pest cycle break
Cowpea,Black,Odisha,Cotton,Wheat,Legume-based nutrient restoration and pest cycle break
Cotton,Sandy,Tamil Nadu,Lentil,Cowpea,Legume-based nutrient restoration and pest cycle break
Sunflower,Clayey,Maharashtra,Wheat,Lentil,Legume-based nutrient restoration and pest cycle break
Maize,Black,Uttar Pradesh,Green Gram,Soybean,Legume-based nutrient restoration and pest cycle break
Soybean,Alluvial,Punjab,Wheat,Maize,Legume-based nutrient restoration and pest cycle break
Lentil,Red,West Bengal,Wheat,Sugarcane,Legume-based nutrient restoration and pest cycle break
Sugarcane,Black,West Bengal,Pigeon Pea,Soybean,Legume-based nutrient restoration and pest cycle break
Sunflower,Red,Maharashtra,Pigeon Pea,Rice,Legume-based nutrient restoration and pest cycle break
Chickpea,Alluvial,Tamil Nadu,Cotton,Maize,Legume-based nutrient restoration and pest cycle break
Sugarcane,Alluvial,Uttar Pradesh,Lentil,Black Gram,Legume-based nutrient restoration and pest cycle break
Mustard,Black,West Bengal,Pigeon Pea,Groundnut,Legume-based nutrient restoration and pest cycle break
Cotton,Black,Tamil Nadu,Pigeon Pea,Green Gram,Legume-based nutrient restoration and pest cycle break
Pigeon Pea,Black,Uttar Pradesh,Cotton,Wheat,Legume-based nutrient restoration and pest cycle break
Maize,Clayey,Tamil Nadu,Lentil,Soybean,Legume-based nutrient restoration and pest cycle break
Mustard,Sandy,Punjab,Wheat,Maize,Legume-based nutrient restoration and pest cycle break
Wheat,Red,Tamil Nadu,Black Gram,Pigeon Pea,Legume-based nutrient restoration and pest cycle break
Chickpea,Alluvial,Punjab,Wheat,Rice,Legume-based nutrient restoration and pest cycle break
Sugarcane,Sandy,Maharashtra,Chickpea,Cowpea,Legume-based nutrient restoration and pest cycle break
Chickpea,Alluvial,Punjab,Wheat,Mustard,Legume-based nutrient restoration and pest cycle break
Lentil,Alluvial,Tamil Nadu,Mustard,Cotton,Legume-based nutrient restoration and pest cycle break
Potato,Red,West Bengal,Pigeon Pea,Green Gram,Legume-based nutrient restoration and pest cycle break
Wheat,Sandy,Odisha,Chickpea,Green Gram,Legume-based nutrient restoration and pest cycle break
Potato,Laterite,West Bengal,Chickpea,Black Gram,Legume-based nutrient restoration and pest cycle break
Cowpea,Alluvial,West Bengal,Wheat,Cotton,Legume-based nutrient restoration and pest cycle break
Mustard,Alluvial,Maharashtra,Wheat,Lentil,Legume-based nutrient restoration and pest cycle break
Chickpea,Red,West Bengal,Sugarcane,Rice,Legume-based nutrient restoration and pest cycle break
Chickpea,Sandy,Uttar Pradesh,Wheat,Mustard,Legume-based nutrient restoration and pest cycle break
Mustard,Alluvial,Tamil Nadu,Maize,Rice,Legume-based nutrient restoration and pest cycle break
Maize,Alluvial,West Bengal,Lentil,Green Gram,Legume-based nutrient restoration and pest cycle break
Potato,Sandy,Punjab,Green Gram,Chickpea,Legume-based nutrient restoration and pest cycle break
Lentil,Alluvial,Maharashtra,Mustard,Rice,Legume-based nutrient restoration and pest cycle break
Lentil,Alluvial,West Bengal,Rice,Wheat,Legume-based nutrient restoration and pest cycle break
Lentil,Sandy,Maharashtra,Wheat,Cotton,Legume-based nutrient restoration and pest cycle break
Sunflower,Clayey,Odisha,Lentil,Rice,Legume-based nutrient restoration and pest cycle break
Sugarcane,Black,Tamil Nadu,Pigeon Pea,Black Gram,Legume-based nutrient restoration and pest cycle break
Chickpea,Alluvial,Punjab,Cotton,Rice,Legume-based nutrient restoration and pest cycle break
Rice,Clayey,Punjab,Soybean,Lentil,Legume-based nutrient restoration and pest cycle break
Maize,Sandy,West Bengal,Black Gram,Green Gram,Legume-based nutrient restoration and pest cycle break
Cotton,Alluvial,Tamil Nadu,Chickpea,Soybean,Legume-based nutrient restoration and pest cycle break
Sugarcane,Alluvial,Punjab,Soybean,Black Gram,Legume-based nutrient restoration and pest cycle break
Soybean,Laterite,Odisha,Maize,Cotton,Legume-based nutrient restoration and pest cycle break
Green Gram,Sandy,West Bengal,Wheat,Maize,Legume-based nutrient restoration and pest cycle break
Maize,Clayey,Odisha,Lentil,Chickpea,Legume-based nutrient restoration and pest cycle break
Chickpea,Red,Odisha,Cotton,Wheat,Legume-based nutrient restoration and pest cycle break
Sugarcane,Clayey,West Bengal,Lentil,Green Gram,Legume-based nutrient restoration and pest cycle break
Pigeon Pea,Laterite,West Bengal,Wheat,Rice,Legume-based nutrient restoration and pest cycle break
Maize,Sandy,Punjab,Lentil,Cowpea,Legume-based nutrient restoration and pest cycle break
Cowpea,Laterite,West Bengal,Cotton,Maize,Legume-based nutrient restoration and pest cycle break
Sunflower,Clayey,West Bengal,Lentil,Green Gram,Legume-based nutrient restoration and pest cycle break
Black Gram,Sandy,Uttar Pradesh,Cotton,Mustard,Legume-based nutrient restoration and pest cycle break
Soybean,Sandy,Odisha,Cotton,Rice,Legume-based nutrient restoration and pest cycle break
Potato,Red,West Bengal,Black Gram,Groundnut,Legume-based nutrient restoration and pest cycle break
Wheat,Black,Punjab,Soybean,Black Gram,Legume-based nutrient restoration and pest cycle break
Cowpea,Laterite,Odisha,Wheat,Rice,Legume-based nutrient restoration and pest cycle break
Soybean,Laterite,Uttar Pradesh,Rice,Cotton,Legume-based nutrient restoration and pest cycle break
Lentil,Laterite,Odisha,Sugarcane,Rice,Legume-based nutrient restoration and pest cycle break
Sunflower,Clayey,Odisha,Black Gram,Green Gram,Legume-based nutrient restoration and pest cycle break
Mustard,Clayey,Maharashtra,Lentil,Rice,Legume-based nutrient restoration and pest cycle break
Maize,Laterite,Tamil Nadu,Cowpea,Black Gram,Legume-based nutrient restoration and pest cycle break
Groundnut,Alluvial,Punjab,Mustard,Rice,Legume-based nutrient restoration and pest cycle break
Sunflower,Clayey,Maharashtra,Black Gram,Lentil,Legume-based nutrient restoration and pest cycle break
Lentil,Clayey,Uttar Pradesh,Cotton,Wheat,Legume-based nutrient restoration and pest cycle break
Lentil,Black,Tamil Nadu,Sugarcane,Wheat,Legume-based nutrient restoration and pest cycle break
Mustard,Clayey,Uttar Pradesh,Rice,Potato,Legume-based nutrient restoration and pest cycle break
Lentil,Laterite,Odisha,Cotton,Rice,Legume-based nutrient restoration and pest cycle break
Lentil,Laterite,West Bengal,Maize,Cotton,Legume-based nutrient restoration and pest cycle break
Mustard,Sandy,Punjab,Green Gram,Maize,Legume-based nutrient restoration and pest cycle break
Black Gram,Sandy,West Bengal,Mustard,Cotton,Legume-based nutrient restoration and pest cycle break
Sugarcane,Sandy,Odisha,Black Gram,Chickpea,Legume-based nutrient restoration and pest cycle break
Pigeon Pea,Alluvial,West Bengal,Cotton,Wheat,Legume-based nutrient restoration and pest cycle break
Wheat,Alluvial,Uttar Pradesh,Green Gram,Lentil,Legume-based nutrient restoration and pest cycle break
Sugarcane,Red,Uttar Pradesh,Cowpea,Pigeon Pea,Legume-based nutrient restoration and pest cycle break
Green Gram,Clayey,Tamil Nadu,Maize,Cotton,Legume-based nutrient restoration and pest cycle break
Wheat,Black,Punjab,Green Gram,Pigeon Pea,Legume-based nutrient restoration and pest cycle break
Potato,Clayey,Uttar Pradesh,Green Gram,Chickpea,Legume-based nutrient restoration and pest cycle break
Groundnut,Red,Maharashtra,Rice,Cotton,Legume-based nutrient restoration and pest cycle break
Soybean,Black,Punjab,Sugarcane,Rice,Legume-based nutrient restoration and pest cycle break
Pigeon Pea,Sandy,Maharashtra,Mustard,Cotton,Legume-based nutrient restoration and pest cycle break
Mustard,Clayey,Odisha,Black Gram,Green Gram,Legume-based nutrient restoration and pest cycle break
Groundnut,Red,Tamil Nadu,Rice,Wheat,Legume-based nutrient restoration and pest cycle break
Sunflower,Red,West Bengal,Cowpea,Groundnut,Legume-based nutrient restoration and pest cycle break
Green Gram,Clayey,Punjab,Maize,Cotton,Legume-based nutrient restoration and pest cycle break
Cowpea,Alluvial,Tamil Nadu,Cotton,Wheat,Legume-based nutrient restoration and pest cycle break
Sugarcane,Black,Maharashtra,Pigeon Pea,Groundnut,Legume-based nutrient restoration and pest cycle break
Wheat,Sandy,West Bengal,Black Gram,Chickpea,Legume-based nutrient restoration and pest cycle break
Chickpea,Black,West Bengal,Rice,Maize,Legume-based nutrient restoration and pest cycle break
Wheat,Laterite,Uttar Pradesh,Cowpea,Black Gram,Legume-based nutrient restoration and pest cycle break
Wheat,Laterite,Odisha,Black Gram,Chickpea,Legume-based nutrient restoration and pest cycle break
Soybean,Black,Uttar Pradesh,Rice,Maize,Legume-based nutrient restoration and pest cycle break
Pigeon Pea,Red,Tamil Nadu,Cotton,Wheat,Legume-based nutrient restoration and pest cycle break
Potato,Sandy,Maharashtra,Lentil,Chickpea,Legume-based nutrient restoration and pest cycle break
Black Gram,Alluvial,Maharashtra,Cotton,Maize,Legume-based nutrient restoration and pest cycle break
Black Gram,Sandy,Odisha,Maize,Rice,Legume-based nutrient restoration and pest cycle break
Cowpea,Laterite,Odisha,Sugarcane,Cotton,Legume-based nutrient restoration and pest cycle break
Wheat,Laterite,Odisha,Black Gram,Green Gram,Legume-based nutrient restoration and pest cycle break
Maize,Alluvial,Maharashtra,Chickpea,Black Gram,Legume-based nutrient restoration and pest cycle break
Black Gram,Black,Uttar Pradesh,Maize,Rice,Legume-based nutrient restoration and pest cycle break
Lentil,Black,Punjab,Rice,Wheat,Legume-based nutrient restoration and pest cycle break
Potato,Sandy,Odisha,Lentil,Black Gram,Legume-based nutrient restoration and pest cycle break
Groundnut,Laterite,Tamil Nadu,Cotton,Sugarcane,Legume-based nutrient restoration and pest cycle break
Chickpea,Clayey,Uttar Pradesh,Cotton,Rice,Legume-based nutrient restoration and pest cycle break
Black Gram,Laterite,Odisha,Cotton,Sugarcane,Legume-based nutrient restoration and pest cycle break
Mustard,Alluvial,Tamil Nadu,Lentil,Chickpea,Legume-based nutrient restoration and pest cycle break
Pigeon Pea,Sandy,Maharashtra,Cotton,Rice,Legume-based nutrient restoration and pest cycle break
Chickpea,Red,Maharashtra,Maize,Sugarcane,Legume-based nutrient restoration and pest cycle break
Black Gram,Black,West Bengal,Cotton,Wheat,Legume-based nutrient restoration and pest cycle break
Pigeon Pea,Clayey,Maharashtra,Wheat,Potato,Legume-based nutrient restoration and pest cycle break
Chickpea,Sandy,Odisha,Maize,Rice,Legume-based nutrient restoration and pest cycle break
Mustard,Red,Odisha,Maize,Groundnut,Legume-based nutrient restoration and pest cycle break
Maize,Red,Uttar Pradesh,Black Gram,Cowpea,Legume-based nutrient restoration and pest cycle break
Rice,Black,Maharashtra,Green Gram,Black Gram,Legume-based nutrient restoration and pest cycle break
Maize,Sandy,West Bengal,Green Gram,Lentil,Legume-based nutrient restoration and pest cycle break
Cotton,Alluvial,West Bengal,Lentil,Soybean,Legume-based nutrient restoration and pest cycle break
Pigeon Pea,Alluvial,Maharashtra,Cotton,Maize,Legume-based nutrient restoration and pest cycle break
Sugarcane,Laterite,West Bengal,Groundnut,Black Gram,Legume-based nutrient restoration and pest cycle break
Wheat,Red,Uttar Pradesh,Groundnut,Green Gram,Legume-based nutrient restoration and pest cycle break
Lentil,Sandy,Uttar Pradesh,Maize,Wheat,Legume-based nutrient restoration and pest cycle break
Groundnut,Clayey,West Bengal,Wheat,Rice,Legume-based nutrient restoration and pest cycle break
Cotton,Laterite,West Bengal,Chickpea,Cowpea,Legume-based nutrient restoration and pest cycle break
Cowpea,Clayey,Maharashtra,Wheat,Potato,Legume-based nutrient restoration and pest cycle break
Black Gram,Red,Tamil Nadu,Rice,Wheat,Legume-based nutrient restoration and pest cycle break
Pigeon Pea,Black,Maharashtra,Maize,Cotton,Legume-based nutrient restoration and pest cycle break
Sugarcane,Laterite,Odisha,Cowpea,Groundnut,Legume-based nutrient restoration and pest cycle break
Sugarcane,Black,Punjab,Groundnut,Soybean,Legume-based nutrient restoration and pest cycle break
Sunflower,Alluvial,West Bengal,Maize,Rice,Legume-based nutrient restoration and pest cycle break
Rice,Red,Maharashtra,Green Gram,Pigeon Pea,Legume-based nutrient restoration and pest cycle break
Pigeon Pea,Laterite,Maharashtra,Rice,Maize,Legume-based nutrient restoration and pest cycle break
Wheat,Clayey,Odisha,Lentil,Black Gram,Legume-based nutrient restoration and pest cycle break
Mustard,Alluvial,Punjab,Lentil,Rice,Legume-based nutrient restoration and pest cycle break
Groundnut,Clayey,Tamil Nadu,Maize,Rice,Legume-based nutrient restoration and pest cycle break
Sugarcane,Red,West Bengal,Pigeon Pea,Black Gram,Legume-based nutrient restoration and pest cycle break
Lentil,Black,Punjab,Wheat,Rice,Legume-based nutrient restoration and pest cycle break
Soybean,Alluvial,Tamil Nadu,Rice,Wheat,Legume-based nutrient restoration and pest cycle break
Wheat,Red,West Bengal,Cowpea,Groundnut,Legume-based nutrient restoration and pest cycle break
Sugarcane,Sandy,West Bengal,Lentil,Green Gram,Legume-based nutrient restoration and pest cycle break
Sunflower,Laterite,Maharashtra,Wheat,Cowpea,Legume-based nutrient restoration and pest cycle break
Green Gram,Sandy,Uttar Pradesh,Cotton,Mustard,Legume-based nutrient restoration and pest cycle break
Cotton,Sandy,Odisha,Chickpea,Lentil,Legume-based nutrient restoration and pest cycle break
Cowpea,Laterite,Tamil Nadu,Sugarcane,Rice,Legume-based nutrient restoration and pest cycle break
Soybean,Clayey,Uttar Pradesh,Cotton,Maize,Legume-based nutrient restoration and pest cycle break
Cowpea,Laterite,West Bengal,Maize,Wheat,Legume-based nutrient restoration and pest cycle break
Chickpea,Black,West Bengal,Rice,Wheat,Legume-based nutrient restoration and pest cycle break
Maize,Black,Punjab,Green Gram,Groundnut,Legume-based nutrient restoration and pest cycle break
Lentil,Black,Odisha,Cotton,Wheat,Legume-based nutrient restoration and pest cycle break
Groundnut,Alluvial,Maharashtra,Wheat,Rice,Legume-based nutrient restoration and pest cycle break
Sugarcane,Clayey,Tamil Nadu,Chickpea,Green Gram,Legume-based nutrient restoration and pest cycle break
Potato,Red,Maharashtra,Cowpea,Black Gram,Legume-based nutrient restoration and pest cycle break
Black Gram,Red,Tamil Nadu,Rice,Sugarcane,Legume-based nutrient restoration and pest cycle break
Green Gram,Alluvial,Maharashtra,Rice,Cotton,Legume-based nutrient restoration and pest cycle break
Mustard,Black,Odisha,Groundnut,Cotton,Legume-based nutrient restoration and pest cycle break
Cowpea,Clayey,Odisha,Wheat,Rice,Legume-based nutrient restoration and pest cycle break
Cowpea,Black,Uttar Pradesh,Wheat,Cotton,Legume-based nutrient restoration and pest cycle break
Soybean,Red,Punjab,Rice,Maize,Legume-based nutrient restoration and pest cycle break
Sugarcane,Clayey,Punjab,Green Gram,Soybean,Legume-based nutrient restoration and pest cycle break
Mustard,Clayey,West Bengal,Rice,Potato,Legume-based nutrient restoration and pest cycle break
Groundnut,Sandy,Odisha,Rice,Cotton,Legume-based nutrient restoration and pest cycle break
Cotton,Black,Tamil Nadu,Pigeon Pea,Green Gram,Legume-based nutrient restoration and pest cycle break
Wheat,Sandy,Punjab,Cowpea,Green Gram,Legume-based nutrient restoration and pest cycle break
Sunflower,Alluvial,Maharashtra,Rice,Maize,Legume-based nutrient restoration and pest cycle break
Sugarcane,Clayey,West Bengal,Lentil,Soybean,Legume-based nutrient restoration and pest cycle break
Soybean,Black,West Bengal,Maize,Sugarcane,Legume-based nutrient restoration and pest cycle break
Sunflower,Black,Tamil Nadu,Rice,Cotton,Legume-based nutrient restoration and pest cycle break
Green Gram,Sandy,Odisha,Wheat,Rice,Legume-based nutrient restoration and pest cycle break
Wheat,Alluvial,Odisha,Lentil,Soybean,Legume-based nutrient restoration and pest cycle break
Sunflower,Black,Maharashtra,Groundnut,Cotton,Legume-based nutrient restoration and pest cycle break
Chickpea,Black,Uttar Pradesh,Rice,Wheat,Legume-based nutrient restoration and pest cycle break
Cotton,Sandy,Tamil Nadu,Green Gram,Lentil,Legume-based nutrient restoration and pest cycle break
Cotton,Sandy,Tamil Nadu,Green Gram,Lentil,Legume-based nutrient restoration and pest cycle break
Cotton,Alluvial,Tamil Nadu,Green Gram,Black Gram,Legume-based nutrient restoration and pest cycle break
Mustard,Black,Maharashtra,Rice,Groundnut,Legume-based nutrient restoration and pest cycle break
Green Gram,Black,West Bengal,Rice,Cotton,Legume-based nutrient restoration and pest cycle break
Chickpea,Sandy,Tamil Nadu,Cotton,Maize,Legume-based nutrient restoration and pest cycle break
Pigeon Pea,Laterite,West Bengal,Maize,Sugarcane,Legume-based nutrient restoration and pest cycle break
Cowpea,Alluvial,Maharashtra,Mustard,Wheat,Legume-based nutrient restoration and pest cycle break
Maize,Sandy,Maharashtra,Black Gram,Chickpea,Legume-based nutrient restoration and pest cycle break
Cotton,Alluvial,Odisha,Soybean,Green Gram,Legume-based nutrient restoration and pest cycle break
Green Gram,Alluvial,Odisha,Rice,Mustard,Legume-based nutrient restoration and pest cycle break
Cowpea,Alluvial,Uttar Pradesh,Mustard,Cotton,Legume-based nutrient restoration and pest cycle break
Chickpea,Red,Maharashtra,Cotton,Rice,Legume-based nutrient restoration and pest cycle break
Maize,Red,Uttar Pradesh,Cowpea,Black Gram,Legume-based nutrient restoration and pest cycle break
Cotton,Laterite,Uttar Pradesh,Black Gram,Groundnut,Legume-based nutrient restoration and pest cycle break
Potato,Sandy,Tamil Nadu,Black Gram,Chickpea,Legume-based nutrient restoration and pest cycle break
Mustard,Laterite,Maharashtra,Cowpea,Rice,Legume-based nutrient restoration and pest cycle break
Potato,Laterite,Uttar Pradesh,Green Gram,Cowpea,Legume-based nutrient restoration and pest cycle break
Lentil,Clayey,Maharashtra,Wheat,Rice,Legume-based nutrient restoration and pest cycle break
Green Gram,Black,Maharashtra,Maize,Rice,Legume-based nutrient restoration and pest cycle break
Chickpea,Red,Punjab,Wheat,Sugarcane,Legume-based nutrient restoration and pest cycle break
Wheat,Clayey,Tamil Nadu,Chickpea,Black Gram,Legume-based nutrient restoration and pest cycle break
Sunflower,Alluvial,Punjab,Lentil,Wheat,Legume-based nutrient restoration and pest cycle break
Pigeon Pea,Red,Punjab,Cotton,Sugarcane,Legume-based nutrient restoration and pest cycle break
Rice,Sandy,Tamil Nadu,Chickpea,Cowpea,Legume-based nutrient restoration and pest cycle break
Sugarcane,Laterite,Odisha,Cowpea,Chickpea,Legume-based nutrient restoration and pest cycle break
Maize,Black,Maharashtra,Pigeon Pea,Soybean,Legume-based nutrient restoration and pest cycle break
Potato,Sandy,Maharashtra,Chickpea,Cowpea,Legume-based nutrient restoration and pest cycle break
Potato,Laterite,Tamil Nadu,Chickpea,Black Gram,Legume-based nutrient restoration and pest cycle break
Sugarcane,Alluvial,Maharashtra,Lentil,Green Gram,Legume-based nutrient restoration and pest cycle break
Chickpea,Clayey,West Bengal,Maize,Cotton,Legume-based nutrient restoration and pest cycle break
Cowpea,Alluvial,Punjab,Rice,Mustard,Legume-based nutrient restoration and pest cycle break
Pigeon Pea,Red,Uttar Pradesh,Rice,Sugarcane,Legume-based nutrient restoration and pest cycle break
Cowpea,Laterite,Tamil Nadu,Sugarcane,Cotton,Legume-based nutrient restoration and pest cycle break
Potato,Red,Maharashtra,Pigeon Pea,Black Gram,Legume-based nutrient restoration and pest cycle break
Cotton,Black,Punjab,Pigeon Pea,Groundnut,Legume-based nutrient restoration and pest cycle break
Lentil,Red,Tamil Nadu,Wheat,Cotton,Legume-based nutrient restoration and pest cycle break
Maize,Clayey,Punjab,Lentil,Black Gram,Legume-based nutrient restoration and pest cycle break
Groundnut,Black,Odisha,Wheat,Maize,Legume-based nutrient restoration and pest cycle break
